beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
Wye Valley Bitter,Wye Valley Brewery,English Bitter,3.7,0,,,,,,,,4,26/04/2015 18:27,https://untappd.com/c/176766909,https://untappd.com/beer/42921,https://untappd.com/brewery/1378,England,Stoke Lacy,Herefordshire,,,,176766909,42921,1378,,3.4,3.44,,0,0
Pumpkin,London Brewing Co,Pumpkin / Yam Beer,3.7,0,Subtle pumpkin but really good!,Bohemia Bar,North Finchley,Greater London,United Kingdom,51.6153,-0.176607,4.25,24/10/2015 23:09,https://untappd.com/c/238634540,https://untappd.com/beer/1288227,https://untappd.com/brewery/17845,England,North Finchley,Greater London,,,,238634540,1288227,17845,https://untappd.s3.amazonaws.com/photo/2015_10_24/c6226a8dab737ad40ef693d3f73f046f_raw.jpg,0,3.56,,1,0
AK,McMullen & Sons (Mac's),English Mild Ale,3.7,0,,"The Bulls Head, Turnford",Broxbourne,Hertfordshire,United Kingdom,51.7225,-0.026138,3,19/12/2015 23:32,https://untappd.com/c/257116898,https://untappd.com/beer/3549,https://untappd.com/brewery/843,England,Hertford,Hertfordshire,,,,257116898,3549,843,https://untappd.s3.amazonaws.com/photo/2015_12_19/b61333d6261362356cb35cbb36640ae5_raw.jpg,3.11,3.2,,1,0
Southwold Bitter - Cask,Adnams,English Bitter,3.7,33,"Hand pull, pretty good",Crooked Chimney,Welwyn Garden City,Hertfordshire,United Kingdom,51.7968,-0.247024,3.75,10/03/2016 22:44,https://untappd.com/c/286099146,https://untappd.com/beer/399365,https://untappd.com/brewery/11,England,Southwold,Suffolk,,,,286099146,399365,11,https://untappd.s3.amazonaws.com/photo/2016_03_10/4ab64e1e5484b8f0f14c7dcfc241985e_raw.jpg,3.33,3.4,,0,0
Marvellous Maple Mild,Brentwood Brewing Company,English Mild Ale,3.7,0,"Cask. Ok. The maple is VERY subtle, what's the point?",Lee Valley White Water Centre,Waltham Cross,Hertfordshire,United Kingdom,51.6889,-0.0173356,3.25,29/05/2016 13:56,https://untappd.com/c/317221680,https://untappd.com/beer/197071,https://untappd.com/brewery/4348,England,Brentwood,Essex,,,,317221680,197071,4348,https://untappd.s3.amazonaws.com/photo/2016_05_29/ecabcd58f5c7ae3db96ff6306768a0a0_raw.jpg,3.44,3.49,,2,0
Hallo Ich Bin Berliner Weisse Peach,Mikkeller,Sour - Berliner Weisse,3.7,0,"Proper funky lambic aroma, proper nice. I didn't get any peach though",BrewDog Shoreditch,London,Greater London,United Kingdom,51.5246,-0.0726124,4.5,21/08/2016 23:10,https://untappd.com/c/351536276,https://untappd.com/beer/1549123,https://untappd.com/brewery/2813,Denmark,Copenhagen,Region Hovedstaden,,,,351536276,1549123,2813,https://untappd.s3.amazonaws.com/photo/2016_08_21/7fd4894851779fc71a59717c65a26f41_raw.jpg,3.81,3.81,,0,0
Zinger,Hop Fuzz Brewery,Golden Ale,3.7,0,Quite sharp,,,,,,,3,29/08/2016 20:23,https://untappd.com/c/354459334,https://untappd.com/beer/364053,https://untappd.com/brewery/27668,England,"West Hythe, Hythe",Kent,,,,354459334,364053,27668,https://untappd.s3.amazonaws.com/photo/2016_08_29/52b040c0e764f8fb58eea776abb8d400_raw.jpg,3.49,3.59,,0,0
Fine Light Ale,Goacher's Ales,English Bitter,3.7,0,Historic check-in from a couple of years ago,,,,,,,,06/10/2016 22:02,https://untappd.com/c/368154601,https://untappd.com/beer/76081,https://untappd.com/brewery/15602,England,Maidstone,Kent,,,,368154601,76081,15602,,3.51,3.57,,1,0
Reliant Robin,Rockin Robin Brewery,English Bitter,3.7,0,,,,,,,,3.25,17/03/2017 19:49,https://untappd.com/c/428874603,https://untappd.com/beer/409845,https://untappd.com/brewery/53249,England,Maidstone,Kent.,,10.50 from Victoria,,428874603,409845,53249,https://untappd.s3.amazonaws.com/photo/2017_03_17/7ae428bf3ad267b7a5d0ef4fc6d9bfda_raw.jpg,3.41,3.52,,2,0
Amber Ale,Good George Brewing,English Bitter,3.7,21,Same same.,,,,,,,3.25,24/08/2017 05:33,https://untappd.com/c/495050648,https://untappd.com/beer/229384,https://untappd.com/brewery/39720,New Zealand,Hamilton,Waikato,"malty,light",The Brewers Co-operative,Draft,495050648,229384,39720,https://untappd.s3.amazonaws.com/photo/2017_08_24/5741a94664b735c1a00ddd2df84e4520_raw.jpg,3.41,3.45,,0,0
Hamovniki Stolovoe (Хамовники Столовое),Moscow Brewing Company (Московская Пивоваренная Компания),Table Beer,3.7,0,Decent zesty citrus hop stuff going on. Quite enjoyed it.,Hazi Aslanov,Bakı,Baki,Azərbaycan,40.3754,49.9312,3.25,31/01/2018 23:04,https://untappd.com/c/556701326,https://untappd.com/beer/637468,https://untappd.com/brewery/7165,Russia,Mytishchi,Московская область,fruity,Megastore,Bottle,556701326,637468,7165,https://untappd.s3.amazonaws.com/photos/2018_01_31/752bbba5ebdae4a1195d010c3ed17c72_raw.jpg,3.14,3.21,,2,0
Effortless,Redwillow Brewery,Pale Ale - New Zealand,3.7,0,,CASK Pub and Kitchen,Pimlico,Greater London,United Kingdom,51.4911,-0.137465,3.5,05/11/2018 16:05,https://untappd.com/c/672525131,https://untappd.com/beer/2132717,https://untappd.com/brewery/11038,England,Macclesfield,Cheshire East,,CASK Pub and Kitchen,Cask,672525131,2132717,11038,https://untappd.s3.amazonaws.com/photos/2018_11_05/d20931121b1b9c317f14d9db411585f1_raw.jpg,3.46,3.48,,0,0
Hallo Ich Bin Berliner Weisse Pineapple,Mikkeller,Sour - Berliner Weisse,3.7,0,A nice hint of jammy pineapple. Not particularly sour.,BrewDog Paddington,London,Greater London,United Kingdom,51.5194,-0.171767,4,16/04/2019 14:42,https://untappd.com/c/737187612,https://untappd.com/beer/2247443,https://untappd.com/brewery/2813,Denmark,Copenhagen,Region Hovedstaden,"light,sweet,sour,pineapple",BrewDog Paddington,Draft,737187612,2247443,2813,https://untappd.s3.amazonaws.com/photos/2019_04_16/3a8c4c79150e304c0b4f3d8c4275201e_raw.jpg,3.54,3.54,,0,0
The Patersbier,Anspach & Hobday,Patersbier,3.7,0,,Real Ale Maida Vale,Little Venice,Greater London,United Kingdom,51.5244,-0.184879,3.5,30/08/2019 08:58,https://untappd.com/c/798206418,https://untappd.com/beer/1452877,https://untappd.com/brewery/56290,England,London,Bermondsey,,Real Ale Maida Vale,Draft,798206418,1452877,56290,https://untappd.s3.amazonaws.com/photos/2019_08_30/d5efa34923bc59c6ab56193a95af4f21_raw.jpg,3.38,3.48,,0,0
Dead Pony Club,BrewDog,IPA - Session / India Session Ale,3.8,35,,,,,,,,3,26/07/2014 18:11,https://untappd.com/c/102383603,https://untappd.com/beer/164769,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,102383603,164769,241,,3.57,3.57,,0,1
Best Bitter,Black Sheep,English Bitter,3.8,30,,The Rocket,Euston,Greater London,United Kingdom,51.5282,-0.128576,2,13/08/2014 19:25,https://untappd.com/c/106949043,https://untappd.com/beer/7309,https://untappd.com/brewery/134,England,Masham,North Yorkshire,,,,106949043,7309,134,,3.34,3.34,,0,0
Fruitesse,Brouwerij Liefmans,Fruit Beer,3.8,10,,,,,,,,3,28/08/2014 21:17,https://untappd.com/c/110560014,https://untappd.com/beer/9085,https://untappd.com/brewery/287,Belgium,Oudenaarde,Vlaanderen,,,,110560014,9085,287,,3.34,3.34,,0,0
Pumpking,Wychwood Brewery,Pumpkin / Yam Beer,3.8,0,Bottle,,,,,,,3,09/11/2014 22:05,https://untappd.com/c/128498768,https://untappd.com/beer/81090,https://untappd.com/brewery/1376,England,Witney,Oxfordshire,,,,128498768,81090,1376,,3.15,3.18,,0,0
